interaction_type,has_open_tracking,has_click_tracking,content_type,time_quadrant,hour,minute,weekday,date,month,thread_length,thread_avg_reply_delay,thread_avg_receive_delay,identifier,used_tracking
RECEIVED,FALSE,FALSE,UPDATES,2,9,58,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PROMOTIONS,3,12,41,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,PROMOTIONS,1,5,12,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,41,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,40,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,39,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,1,3,54,Saturday,24,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,23,2,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,4,18,9,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,PERSONAL,4,22,38,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PERSONAL,3,15,44,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,11,20,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,UPDATES,2,8,2,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,22,13,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,UPDATES,3,14,29,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,UPDATES,4,19,21,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,12,50,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,13,10,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,11,8,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,53,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,16,19,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,15,51,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,7,26,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,11,8,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,4,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
